festival_id,festival_name,start_date,end_date,peak_date,festival_type,religion_culture,region_relevance,expected_category_surge,notes
1,Navratri 2022,2022-09-26,2022-10-05,2022-10-01,Cultural/Religious,Hindu,Pan-India,"Shopping, Entertainment, Food & Dining","9-day festival; Garba nights drive evening entertainment & food spend"
2,Dussehra 2022,2022-10-05,2022-10-07,2022-10-05,Cultural/Religious,Hindu,Pan-India,"Shopping, Entertainment, Food & Dining","Marks end of Navratri; effigies burnt — public gatherings spike food & entertainment"
3,Diwali 2022,2022-10-22,2022-10-27,2022-10-24,Cultural/Religious,Hindu,Pan-India,"Gifting, Shopping, Food & Dining, Entertainment","Biggest GMV event of the year; gifting and shopping peak on main day"
4,Bhai Dooj 2022,2022-10-26,2022-10-27,2022-10-26,Cultural/Religious,Hindu,Pan-India,"Gifting, Food & Dining","Follows Diwali; siblings exchange gifts — gifting category stays elevated"
5,Christmas 2022,2022-12-23,2022-12-26,2022-12-25,Cultural/Religious,Christian,Pan-India (Urban),"Food & Dining, Entertainment, Travel, Shopping","Urban-heavy; restaurants and travel spike; gift exchanges continue"
6,New Year 2022-23,2022-12-30,2023-01-02,2023-01-01,Cultural,Secular,Pan-India (Urban),"Food & Dining, Entertainment, Travel","Single biggest night for food & entertainment spending; travel books out weeks ahead"
7,Holi 2023,2023-03-07,2023-03-09,2023-03-08,Cultural/Religious,Hindu,Pan-India,"Food & Dining, Shopping, Entertainment","Colour festival; community gatherings drive food spend; apparel shopping spikes beforehand"
8,Eid ul-Fitr 2023,2023-04-21,2023-04-23,2023-04-22,Cultural/Religious,Muslim,Pan-India,"Gifting, Shopping, Food & Dining, Groceries","End of Ramadan; new clothes + gifts + feasts — broad category surge"
9,IPL Season 2023,2023-03-31,2023-05-28,2023-05-14,Sports,Secular,Pan-India,"Entertainment, Food & Dining, Shopping","~2 month sustained surge; match days drive food delivery and streaming payments"
10,Raksha Bandhan 2023,2023-08-30,2023-08-31,2023-08-30,Cultural/Religious,Hindu,Pan-India,"Gifting, Shopping, Food & Dining","Sibling gifting festival; rakhi + sweets + gifts — gifting category peaks sharply"
11,Ganesh Chaturthi 2023,2023-09-19,2023-09-28,2023-09-19,Cultural/Religious,Hindu,"Maharashtra, South India","Food & Dining, Entertainment, Shopping","10-day festival; strongest in Mumbai, Pune, Hyderabad; daily prasad + pandal visits"
12,Navratri 2023,2023-10-15,2023-10-24,2023-10-20,Cultural/Religious,Hindu,Pan-India,"Shopping, Entertainment, Food & Dining","Same pattern as 2022; Garba events drive evening economy"
13,Dussehra 2023,2023-10-24,2023-10-25,2023-10-24,Cultural/Religious,Hindu,Pan-India,"Shopping, Entertainment, Food & Dining","Shorter window in 2023; overlaps end of Navratri"
14,Diwali 2023,2023-11-10,2023-11-15,2023-11-12,Cultural/Religious,Hindu,Pan-India,"Gifting, Shopping, Food & Dining, Entertainment","2023 Diwali falls in November; slightly cooler weather boosts travel too"
15,Christmas 2023,2023-12-23,2023-12-26,2023-12-25,Cultural/Religious,Christian,Pan-India (Urban),"Food & Dining, Entertainment, Travel, Shopping","Same urban pattern as 2022"
16,New Year 2023-24,2023-12-30,2024-01-02,2024-01-01,Cultural,Secular,Pan-India (Urban),"Food & Dining, Entertainment, Travel","Dataset ends here; partial data for Jan 2024"
